transaction_id,date,description,amount,true_category
T01390,2023-11-16,ETSY.COM - SELLER204,52.71,Shopping
T01736,2023-05-05,ALDI 9594 CHICAGO IL,43.1,Groceries
T01617,2023-06-12,netflix.com 616,51.96,Entertainment
T00935,2023-12-29,BEST BUY #625 SEATTLE WA,470.39,Shopping
T01377,2023-09-05,STEAMGAMES.COM 7037 WA,53.12,Entertainment
T00640,2023-03-25,ONCOR ELECTRIC DELIVERY,272.23,Utilities
T00034,2023-02-21,BEST BUY #1188 DENVER CO,273.73,Shopping
T01127,2023-09-20,AMZN MKTP US*88 AMZN.COM/BILL WA,259.33,Shopping
T01872,2023-02-09,SPOTIFY USA 8079,7.38,Entertainment
T00981,2023-11-26,CHIPOTLE 45 CHICAGO IL,77.64,Restaurants
T01062,2023-12-07,TARGET 89126 DALLAS TX,76.85,Shopping
T00939,2023-11-04,ALDI 85 AUSTIN TX,181.62,Groceries
T01521,2023-08-04,POS DEBIT QUEST DIAGNOSTIC  ,105.01,Health
T00832,2023-02-27,BEST BUY #33332 DENVER CO,338.22,Shopping
T01129,2023-09-20,SQ *TAQUERIA EL SOL PHX AZ,124.53,Restaurants
T01458,2023-08-03,TARGET 785 BOSTON MA,362.6,Shopping
T01962,2023-08-21,AMZN MKTP US*68679 AMZN.COM/BILL WA,101.66,Shopping
T01763,2023-07-16,SPOTIFY USA 102,43.17,Entertainment
T01804,2023-02-12,EXXONMOBIL 612 PHX AZ,30.8,Gas
T00965,2023-06-19,TST* THE CORNER DINER,110.35,Restaurants
T01759,2023-07-16,lyft *ride thu 4pm,62.88,Transport
T00089,2023-06-06,GRUBHUB*THAI BASIL CHICAGO IL,138.72,Restaurants
T01996,2023-09-16,TST* THE CORNER DINER,138.9,Restaurants
T01793,2023-08-02,TST* OLIVE & VINE DALLAS TX,84.87,Restaurants
T00599,2023-03-12,UBER *TRIP AUSTIN TX  ,24.41,Transport
T00878,2023-02-27,AMC  ONLINE #6471,7.17,Entertainment
T00786,2023-06-25,AMC ONLINE #5940,56.2,Entertainment
T01844,2023-11-05,SQ *BLUE BOTTLE 5369 AUSTIN TX,11.38,Coffee
T01467,2023-01-17,ALDI 2609 DENVER CO,29.32,Groceries
T00226,2023-12-02,UBER* EATS HELP.UBER.COM,18.73,Transport
T00203,2023-05-29,SPOTIFY USA 11506,52.2,Entertainment
T00562,2023-11-22,LA FITNESS 992 PHX AZ,167.76,Health
T01355,2023-05-22,SAFEWAY #95 AUSTIN TX,118.95,Groceries
T01370,2023-10-02,CVS/PHARMACY #66 SEATTLE WA,256.3,Health
T01915,2023-12-11,WALGREENS #5432,184.3,Health
T00380,2023-11-11,WHOLEFDS MKT 616 OAKLAND CA,15.14,Groceries
T01068,2023-05-30,SQ  *LOCAL GROUNDS PHX AZ,9.26,Coffee
T01567,2023-10-25,MTA*NYCT PAYGO DALLAS TX,9.02,Transport
T01557,2023-12-29,GRUBHUB*THAI  BASIL CHICAGO IL,111.96,Restaurants
T00019,2023-04-19,CHEVRON 72063,67.46,Gas
T00506,2023-12-01,UBER *TRIP MIAMI FL,25.01,Transport
T01777,2023-11-08,ATT*BILL PAYMENT 049,101.53,Utilities
T00652,2023-04-17,TARGET 15 DENVER CO,63.66,Shopping
T00813,2023-02-13,CITY OF DALLAS WATER UT,120.83,Utilities
T01395,2023-06-15,starbucks store 93,10.87,Coffee
T01061,2023-03-16,76 - 109 OAKLAND CA,57.24,Gas
T01970,2023-02-17,REGAL CINEMAS 937 AUSTIN TX  ,19.56,Entertainment
T00653,2023-11-24,COMCAST CABLE COMM 42,93.39,Utilities
T01282,2023-10-29,SQ *TAQUERIA EL SOL CHICAGO IL,24.8,Restaurants
T00559,2023-12-02,SQ *BLUE BOTTLE 68679 AUSTIN TX,4.4,Coffee
T00812,2023-07-02,UBER*  EATS HELP.UBER.COM,23.74,Transport
T00167,2023-08-13,UBER* EATS HELP.UBER.COM,29.58,Transport
T01756,2023-12-18,SQ *BLUE BOTTLE 1760 DALLAS TX,11.33,Coffee
T00695,2023-05-10,TST* PHILZ COFFEE BOSTON MA  ,10.05,Coffee
T00312,2023-06-30,SQ *THE COMEDY CLUB PHX AZ,15.6,Entertainment
T00882,2023-08-10,SQ  *THE BOOK NOOK OAKLAND CA,408.08,Shopping
T01729,2023-11-06,spotify usa 91852,17.09,Entertainment
T01615,2023-07-14,MTA*NYCT PAYGO NY NY,5.55,Transport
T00801,2023-04-30,SAFEWAY #346 PHX AZ,97.88,Groceries
T00452,2023-03-26,ATT*BILL PAYMENT 1,269.26,Utilities
T00549,2023-11-19,SQ *TAQUERIA EL SOL DALLAS TX,29.21,Restaurants
T01319,2023-10-18,SQ *BLUE BOTTLE 94541 BOSTON MA,8.15,Coffee
T00022,2023-06-19,TST* OLIVE & VINE NY NY  ,16.02,Restaurants
T00787,2023-12-19,CIRCLE  K # 471,73.6,Gas
T00531,2023-04-13,STARBUCKS STORE 35,6.65,Coffee
T00199,2023-07-09,mta*nyct paygo phx az,30.35,Transport
T01908,2023-12-08,CIRCLE K # 81143,70.16,Gas
T01448,2023-07-28,RITE AID #77 DALLAS TX,78.17,Health
T01287,2023-09-05,DART RAIL MIAMI FL  ,54.88,Transport
T00643,2023-08-21,STEAMGAMES.COM 77 WA,61.4,Entertainment
T01177,2023-07-06,netflix.com 41119,29.53,Entertainment
T00032,2023-10-17,ALDI  592 PHX AZ,149.76,Groceries
T01275,2023-02-24,PEETS COFFEE #7123 OAKLAND CA,11.88,Coffee
T01591,2023-04-01,76 - 9404 DENVER CO,86.58,Gas
T00903,2023-11-22,76 - 3501 BOSTON MA,61.49,Gas
T01179,2023-12-15,SHELL OIL 05189 CHICAGO IL,84.99,Gas
T00586,2023-10-10,UBER* EATS HELP.UBER.COM,33.35,Transport
T01852,2023-04-07,WALGREENS #00692,204.07,Health
T00038,2023-05-16,EXXONMOBIL 9909 SEATTLE WA,69.4,Gas
T00420,2023-01-30,MTA*NYCT PAYGO DALLAS TX,17.14,Transport
T00466,2023-12-30,UBER* EATS HELP.UBER.COM,42.12,Transport
T01848,2023-02-18,BEST BUY #84 CHICAGO IL,72.61,Shopping
T01727,2023-09-04,TST* PHILZ COFFEE DALLAS TX,3.69,Coffee
T01681,2023-06-17,LYFT *RIDE THU 4PM,26.92,Transport
T00285,2023-02-20,DART RAIL BOSTON MA,23.79,Transport
T00792,2023-09-16,SQ *THE BOOK NOOK BOSTON MA,297.32,Shopping
T01651,2023-07-18,SHELL OIL 00 NY NY,75.19,Gas
T00099,2023-03-01,AMC  ONLINE #99680,27.2,Entertainment
T01873,2023-02-07,ALDI 236 OAKLAND CA,99.53,Groceries
T01013,2023-06-11,trader joe's #108,97.44,Groceries
T01606,2023-11-15,pos debit bp#380,66.91,Gas
T01424,2023-03-14,WALGREENS #133,87.32,Health
T00381,2023-03-14,SQ *TAQUERIA EL SOL OAKLAND CA  ,87.09,Restaurants
T00348,2023-12-08,STARBUCKS STORE 55,3.5,Coffee
T00822,2023-08-28,SHELL OIL 590 NY NY,82.67,Gas
T01597,2023-09-25,ALDI 84 BOSTON MA,158.95,Groceries
T00754,2023-02-09,TRADER JOE'S #11443,74.12,Groceries
T01697,2023-01-16,STEAMGAMES.COM  4071 WA,6.02,Entertainment
T01223,2023-11-06,KROGER 910 BOSTON MA,99.01,Groceries
T00106,2023-10-28,BEST BUY #8318 OAKLAND CA,148.92,Shopping
T01954,2023-07-18,LA  FITNESS 51024 OAKLAND CA,254.91,Health
T01105,2023-03-21,SPOTIFY  USA 67,46.94,Entertainment
T01514,2023-07-01,TARGET 8722 NY NY,279.13,Shopping
T00635,2023-11-10,CHIPOTLE 52171 CHICAGO IL,66.08,Restaurants
T01979,2023-11-01,ALDI 74 SEATTLE WA,213.63,Groceries
T01430,2023-01-01,STARBUCKS STORE 786,7.51,Coffee
T00044,2023-07-15,starbucks store 6745,9.31,Coffee
T00829,2023-03-13,AMZN MKTP US*47636 AMZN.COM/BILL WA,349.84,Shopping
T00376,2023-02-21,AMZN MKTP US*69393 AMZN.COM/BILL WA,467.72,Shopping
T01200,2023-05-29,KROGER 81 BOSTON MA,21.69,Groceries
T00789,2023-12-04,WHOLEFDS MKT 99265 OAKLAND CA,21.72,Groceries
T00827,2023-05-23,VERIZON  WIRELESS 25,106.06,Utilities
T01586,2023-04-27,LYFT *RIDE THU 4PM,27.29,Transport
T01715,2023-12-22,UBER* EATS HELP.UBER.COM,30.58,Transport
T01682,2023-03-09,SQ *LOCAL GROUNDS BOSTON MA  ,9.46,Coffee
T00392,2023-02-21,REGAL CINEMAS 55 PHX AZ,19.2,Entertainment
T00315,2023-11-27,76 - 55448 DENVER CO,73.54,Gas
T01375,2023-06-15,SQ *BLUE BOTTLE 097 NY NY,10.73,Coffee
T01443,2023-09-26,STEAMGAMES.COM 5658 WA,75.35,Entertainment
T00147,2023-11-15,UBER *TRIP MIAMI FL,63.4,Transport
T01532,2023-03-08,POS DEBIT QUEST DIAGNOSTIC,64.83,Health
T00366,2023-01-26,STARBUCKS STORE 2430,6.57,Coffee
T00513,2023-09-04,SQ *LOCAL GROUNDS DENVER CO,7.24,Coffee
T00079,2023-10-12,SQ *THE BOOK NOOK AUSTIN TX,199.83,Shopping
T00764,2023-09-17,SPOTIFY USA 41971,51.88,Entertainment
T01256,2023-05-12,WHOLEFDS MKT 5499 DENVER CO,217.91,Groceries
T00072,2023-07-12,EXXONMOBIL 74 CHICAGO IL,88.56,Gas
T01569,2023-07-17,POS DEBIT H-E-B #34520,96.34,Groceries
T00040,2023-02-27,CIRCLE K # 2647,64.26,Gas
T00735,2023-04-12,SQ *THE COMEDY CLUB DENVER CO,33.38,Entertainment
T00701,2023-08-11,WALGREENS #89589,142.61,Health
T01100,2023-09-11,SQ *TAQUERIA EL SOL BOSTON MA,18.52,Restaurants
T01807,2023-10-26,UBER* EATS HELP.UBER.COM,4.45,Transport
T00075,2023-09-25,COMCAST CABLE COMM 55,154.76,Utilities
T01440,2023-07-02,MTA*NYCT PAYGO OAKLAND CA,13.26,Transport
T01039,2023-06-07,POS DEBIT H-E-B #2338,96.58,Groceries
T00479,2023-01-05,MTA*NYCT PAYGO BOSTON MA,63.81,Transport
T00293,2023-02-02,WALGREENS #22216,133.28,Health
T00377,2023-07-18,TST* THE CORNER DINER,137.78,Restaurants
T00313,2023-06-10,SQ *THE COMEDY CLUB PHX AZ,62.46,Entertainment
T00823,2023-05-04,ETSY.COM - SELLER74202,226.29,Shopping
T00802,2023-07-27,VERIZON WIRELESS 36505,218.34,Utilities
T00816,2023-12-08,CITY OF DALLAS WATER UT,173.26,Utilities
T00662,2023-09-26,SQ *THE COMEDY CLUB NY NY,46.61,Entertainment
T00275,2023-09-16,SQ *BLUE BOTTLE 18021 AUSTIN TX,3.08,Coffee
T01425,2023-03-30,DART RAIL OAKLAND CA,14.63,Transport
T01303,2023-04-27,WHOLEFDS MKT 66532 SEATTLE WA,77.2,Groceries
T00333,2023-01-27,POS DEBIT H-E-B #4102,148.03,Groceries
T00976,2023-10-26,REGAL CINEMAS 62096 PHX AZ,83.38,Entertainment
T00833,2023-07-05,PARKING METER #62240 CHICAGO IL,61.03,Transport
T01060,2023-07-06,TST* PHILZ COFFEE MIAMI FL,5.88,Coffee
T01662,2023-03-30,DART RAIL OAKLAND CA,53.5,Transport
T01838,2023-12-07,LYFT *RIDE THU 4PM  ,24.39,Transport
T01941,2023-11-04,POS DEBIT BP#81852,69.92,Gas
T00527,2023-11-04,STARBUCKS STORE 83345,7.25,Coffee
T00749,2023-11-13,ALDI  0898 OAKLAND CA,89.95,Groceries
T00378,2023-12-25,LYFT *RIDE THU 4PM,3.78,Transport
T01566,2023-09-06,PARKING METER #83817 MIAMI FL,55.93,Transport
T01629,2023-12-08,TXU ENERGY PAYMENT,141.14,Utilities
T00767,2023-04-10,PEETS COFFEE #456 AUSTIN TX,8.47,Coffee
T01477,2023-07-27,76 - 33 BOSTON MA,94.73,Gas
T01752,2023-07-12,SQ *THE COMEDY CLUB PHX AZ  ,16.45,Entertainment
T01536,2023-05-02,verizon wireless 25,44.38,Utilities
T01657,2023-08-17,KROGER 0989 AUSTIN TX,199.22,Groceries
T00874,2023-01-24,ALDI 14 DALLAS TX,187.8,Groceries
T01635,2023-11-13,ALDI 922 DALLAS TX,124.12,Groceries
T00491,2023-06-26,SQ *BLUE BOTTLE 70405 CHICAGO IL,9.67,Coffee
T01019,2023-09-13,TARGET 99253 PHX AZ  ,72.93,Shopping
T00580,2023-10-13,SQ *BLUE BOTTLE 2521 DALLAS TX,5.85,Coffee
T00542,2023-09-19,PEETS COFFEE #5167 PHX AZ,7.42,Coffee
T01215,2023-03-02,CHEVRON 166,84.84,Gas
T00673,2023-07-06,STEAMGAMES.COM 970 WA,57.82,Entertainment
T00554,2023-08-04,KROGER 7598 DALLAS TX,205.36,Groceries
T00720,2023-01-22,BEST BUY #2151 SEATTLE WA  ,379.83,Shopping
T00151,2023-09-06,WHOLEFDS MKT 161 AUSTIN TX,150.7,Groceries
T01538,2023-12-02,COMCAST CABLE COMM 464,239.86,Utilities
T00607,2023-03-11,LA FITNESS 1393 BOSTON MA,184.47,Health
T00169,2023-05-10,SQ *LOCAL GROUNDS AUSTIN TX,6.48,Coffee
T01925,2023-03-10,POS DEBIT H-E-B #402,177.38,Groceries
T01378,2023-10-07,ETSY.COM - SELLER391,457.09,Shopping
T00781,2023-02-18,TST* PHILZ COFFEE BOSTON MA,8.65,Coffee
T00457,2023-12-04,DOORDASH*MCDONALDS,26.59,Restaurants
T00280,2023-09-01,ETSY.COM - SELLER83,186.02,Shopping
T01896,2023-09-16,SQ *LOCAL GROUNDS SEATTLE WA,9.05,Coffee
T01887,2023-12-22,DOORDASH*MCDONALDS,26.76,Restaurants
T01964,2023-03-26,ONCOR ELECTRIC DELIVERY  ,268.63,Utilities
T00178,2023-10-11,GRUBHUB*THAI BASIL OAKLAND CA,123.89,Restaurants
T01271,2023-06-10,SQ  *THE COMEDY CLUB AUSTIN TX,43.12,Entertainment
T00201,2023-03-02,TST* OLIVE & VINE DENVER CO,128.93,Restaurants
T00131,2023-05-01,KROGER 36666 SEATTLE WA,106.16,Groceries
T01462,2023-02-11,ATT*BILL PAYMENT 79,173.42,Utilities
T01162,2023-10-11,76 - 011 MIAMI FL,86.32,Gas
T00739,2023-08-23,CHIPOTLE  32 CHICAGO IL,121.01,Restaurants
T01016,2023-07-18,SQ *CITY DENTAL PHX AZ,167.72,Health
T01206,2023-08-12,ATT*BILL PAYMENT 95435,177.25,Utilities
T00834,2023-01-28,REGAL CINEMAS 5049 PHX AZ  ,68.11,Entertainment
T01871,2023-07-02,UBER *TRIP NY NY,56.04,Transport
T00550,2023-07-23,SQ *CITY DENTAL CHICAGO IL,151.96,Health
T01132,2023-11-20,AMZN  MKTP US*843 AMZN.COM/BILL WA,314.16,Shopping
T00062,2023-03-20,walmart supercenter #8849,188.79,Shopping
T00398,2023-07-31,SQ *THE BOOK NOOK AUSTIN TX,389.46,Shopping
T00758,2023-10-08,TXU ENERGY PAYMENT,180.8,Utilities
T01608,2023-07-22,CITY OF DALLAS WATER UT,207.3,Utilities
T00258,2023-01-25,SQ *TAQUERIA EL SOL DENVER CO,102.02,Restaurants
T00516,2023-08-03,ATT*BILL PAYMENT 2,173.7,Utilities
T01701,2023-08-22,POS  DEBIT H-E-B #60,163.59,Groceries
T00095,2023-06-15,CITY OF DALLAS WATER UT  ,153.81,Utilities
T00686,2023-03-15,DART RAIL DALLAS TX  ,42.85,Transport
T01381,2023-04-30,TST* OLIVE & VINE BOSTON MA,84.53,Restaurants
T01914,2023-09-14,SQ *CITY DENTAL AUSTIN TX,149.02,Health
T01224,2023-04-06,POS DEBIT QUEST DIAGNOSTIC,117.35,Health
T00107,2023-07-13,SPOTIFY USA 70592,70.08,Entertainment
T01471,2023-09-05,pos debit h-e-b #375,64.83,Groceries
T00400,2023-10-20,DOORDASH*MCDONALDS,127.26,Restaurants
T00069,2023-04-13,CVS/PHARMACY #3673 OAKLAND CA,247.4,Health
T00324,2023-12-27,DUNKIN #8720 PHX AZ,5.91,Coffee
T01119,2023-11-07,SQ *BLUE BOTTLE 84 NY NY,5.52,Coffee
T00768,2023-12-10,WALGREENS #3206,121.36,Health
T00645,2023-01-17,WALGREENS #23,19.18,Health
T01418,2023-01-18,POS DEBIT BP#478,71.08,Gas
T01490,2023-04-04,WALGREENS  #4510,199.15,Health
T01078,2023-03-24,DUNKIN  #41195 OAKLAND CA,4.86,Coffee
T00463,2023-05-08,VERIZON WIRELESS 8259,286.88,Utilities
T00186,2023-07-04,ONCOR ELECTRIC DELIVERY,58.54,Utilities
T00302,2023-07-01,TXU ENERGY PAYMENT,215.84,Utilities
T01627,2023-10-05,DART RAIL NY NY,31.62,Transport
T00180,2023-07-22,ONCOR ELECTRIC DELIVERY,149.1,Utilities
T01255,2023-03-17,NETFLIX.COM 02,20.05,Entertainment
T01155,2023-03-10,TRADER JOE'S #46,112.15,Groceries
T00165,2023-01-22,POS DEBIT H-E-B #78,210.62,Groceries
T01519,2023-03-04,DOORDASH*MCDONALDS,104.74,Restaurants
T00010,2023-11-26,CITY OF DALLAS WATER UT,143.8,Utilities
T01249,2023-04-26,TST* OLIVE & VINE NY NY  ,24.93,Restaurants
T00977,2023-06-06,STARBUCKS STORE 916,6.56,Coffee
T01978,2023-03-18,UBER *TRIP AUSTIN TX,27.51,Transport
T01481,2023-01-07,POS DEBIT H-E-B #365,145.92,Groceries
T01235,2023-01-03,ATT*BILL PAYMENT 90,182.83,Utilities
T01539,2023-10-09,POS DEBIT QUEST DIAGNOSTIC,131.84,Health
T01335,2023-05-05,SQ *CITY DENTAL NY NY,83.27,Health
T00796,2023-10-13,KROGER 66 DENVER CO,159.47,Groceries
T00345,2023-07-25,TST* OLIVE & VINE BOSTON MA,66.22,Restaurants
T01760,2023-05-19,GRUBHUB*THAI BASIL PHX AZ,137.27,Restaurants
T00189,2023-12-23,SHELL OIL 8945 DALLAS TX,72.93,Gas
T00626,2023-07-31,RITE AID #23 DALLAS TX,201.36,Health
T00952,2023-11-17,PARKING METER #966 PHX AZ,50.14,Transport
T01982,2023-06-02,TST* THE CORNER DINER,94.99,Restaurants
T01364,2023-11-04,SAFEWAY #92382 DENVER CO,192.12,Groceries
T01511,2023-03-19,POS DEBIT H-E-B #36289,218.84,Groceries
T00894,2023-03-12,lyft *ride thu 4pm,24.92,Transport
T01116,2023-11-21,ONCOR ELECTRIC DELIVERY,119.27,Utilities
T00859,2023-05-26,STEAMGAMES.COM 92 WA,23.11,Entertainment
T01151,2023-04-04,WHOLEFDS  MKT 95251 DALLAS TX,218.93,Groceries
T01854,2023-03-05,WALMART SUPERCENTER #414,125.54,Shopping
T00733,2023-08-11,STEAMGAMES.COM 163 WA,29.95,Entertainment
T00197,2023-09-20,PARKING METER #35986 AUSTIN TX,27.59,Transport
T01324,2023-02-02,WALGREENS #7678,147.86,Health
T00327,2023-02-17,COMCAST CABLE COMM 591,55.77,Utilities
T00316,2023-11-14,76 - 501 DALLAS TX,83.94,Gas
T00462,2023-02-23,txu energy payment,259.19,Utilities
T01292,2023-11-23,PARKING METER #22 AUSTIN TX,25.79,Transport
T00030,2023-09-29,CVS/PHARMACY #936 PHX AZ,239.85,Health
T01191,2023-03-16,CITY OF DALLAS WATER UT,194.08,Utilities
T00726,2023-08-01,LYFT *RIDE THU 4PM  ,19.26,Transport
T00761,2023-06-12,pos debit quest diagnostic,39.23,Health
T01726,2023-03-25,TST* PHILZ COFFEE DALLAS TX,5.64,Coffee
T01192,2023-06-12,UBER* EATS HELP.UBER.COM,33.47,Transport
T00968,2023-10-11,SQ *TAQUERIA EL SOL CHICAGO IL,55.5,Restaurants
T01445,2023-05-12,KROGER 43 MIAMI FL,52.71,Groceries
T00319,2023-09-11,AMZN MKTP US*3683 AMZN.COM/BILL WA,274.99,Shopping
T01737,2023-07-18,SPOTIFY USA 679,14.32,Entertainment
T00166,2023-02-22,sq *the comedy club boston ma,11.2,Entertainment
T01596,2023-12-29,DOORDASH*MCDONALDS,128.44,Restaurants
T01314,2023-01-18,SHELL OIL 715 DENVER CO,26.49,Gas
T01280,2023-04-05,DUNKIN #51211 AUSTIN TX,7.35,Coffee
T01498,2023-08-07,AMZN MKTP US*213 AMZN.COM/BILL WA,19.18,Shopping
T00689,2023-10-07,POS DEBIT BP#73,43.85,Gas
T01783,2023-03-13,SPOTIFY USA 27,55.6,Entertainment
T00442,2023-12-09,AMC ONLINE #2,76.16,Entertainment
T00446,2023-02-28,MTA*NYCT PAYGO AUSTIN TX,23.59,Transport
T01452,2023-04-18,MTA*NYCT PAYGO DALLAS TX,48.78,Transport
T00571,2023-08-04,REGAL CINEMAS 29 DALLAS TX  ,24.24,Entertainment
T01499,2023-02-24,CITY OF DALLAS WATER UT,270.51,Utilities
T00385,2023-09-12,TXU ENERGY PAYMENT,190.53,Utilities
T01977,2023-07-21,POS DEBIT H-E-B #184,47.64,Groceries
T01580,2023-10-03,SQ *LOCAL GROUNDS MIAMI FL,7.07,Coffee
T00049,2023-09-24,CVS/PHARMACY #75574 CHICAGO IL  ,119.01,Health
T00184,2023-08-03,LA FITNESS 99 NY NY,21.94,Health
T00257,2023-01-09,LYFT *RIDE THU 4PM,28.41,Transport
T00941,2023-11-17,STARBUCKS STORE 97,10.35,Coffee
T01533,2023-05-08,CHEVRON 95,68.05,Gas
T01484,2023-04-08,SQ *TAQUERIA EL SOL PHX AZ,47.52,Restaurants
T01134,2023-10-03,sq *local grounds chicago il,11.74,Coffee
T00309,2023-07-22,LA FITNESS 30389 DALLAS TX,174.33,Health
T01690,2023-04-19,NETFLIX.COM 1320,19.79,Entertainment
T01686,2023-10-13,SPOTIFY USA 97,60.16,Entertainment
T01983,2023-09-17,UBER* EATS HELP.UBER.COM,41.44,Transport
T01092,2023-03-21,SQ *CITY DENTAL CHICAGO IL  ,138.39,Health
T00026,2023-05-08,SQ *TAQUERIA EL SOL DALLAS TX,47.65,Restaurants
T00721,2023-02-06,oncor electric delivery,194.32,Utilities
T00008,2023-07-14,LYFT *RIDE THU 4PM,12.29,Transport
T01551,2023-06-09,CHEVRON 18665  ,33.21,Gas
T00389,2023-03-25,PARKING METER #13294 PHX AZ,45.29,Transport
T01548,2023-09-04,SAFEWAY #3420 OAKLAND CA,43.76,Groceries
T01368,2023-06-18,ATT*BILL PAYMENT 548,203.66,Utilities
T01647,2023-03-07,KROGER 85 BOSTON MA,19.72,Groceries
T00727,2023-03-10,CIRCLE K # 9067,65.74,Gas
T01304,2023-12-17,SQ *BLUE BOTTLE 99 BOSTON MA,6.41,Coffee
T01575,2023-05-07,PARKING METER #1262 SEATTLE WA,64.13,Transport
T00528,2023-07-16,ONCOR  ELECTRIC DELIVERY,45.38,Utilities
T00103,2023-03-20,CVS/PHARMACY #12217 AUSTIN TX,39.37,Health
T00887,2023-03-24,SPOTIFY USA 6395,73.18,Entertainment
T01015,2023-02-22,UBER *TRIP CHICAGO IL,33.47,Transport
T00421,2023-08-03,VERIZON WIRELESS 2292,106.34,Utilities
T01325,2023-03-17,SPOTIFY  USA 4524,58.95,Entertainment
T00723,2023-11-09,SHELL OIL 647 CHICAGO IL,31.81,Gas
T01160,2023-07-30,ATT*BILL PAYMENT 481,117.36,Utilities
T01393,2023-05-15,SQ *CITY DENTAL AUSTIN TX,80.0,Health
T01238,2023-12-05,VERIZON WIRELESS 87586,193.92,Utilities
T00569,2023-06-14,AMZN MKTP US*80967 AMZN.COM/BILL WA,240.22,Shopping
T00551,2023-08-19,POS DEBIT H-E-B #61,144.12,Groceries
T00611,2023-04-13,EXXONMOBIL 81681 DENVER CO  ,82.27,Gas
T00233,2023-02-10,AMZN MKTP US*51712 AMZN.COM/BILL WA,143.76,Shopping
T00064,2023-07-19,TXU ENERGY PAYMENT  ,131.73,Utilities
T00700,2023-09-01,SQ *LOCAL GROUNDS DALLAS TX,7.29,Coffee
T01874,2023-02-19,POS DEBIT H-E-B #94166,59.79,Groceries
T01841,2023-05-31,ALDI 81 NY NY,183.54,Groceries
T00486,2023-12-11,CHIPOTLE 50860 MIAMI FL,14.16,Restaurants
T01943,2023-04-10,EXXONMOBIL 37 BOSTON MA,64.86,Gas
T01788,2023-03-16,safeway #3169 boston ma,218.38,Groceries
T01661,2023-03-13,STEAMGAMES.COM 20012 WA,8.06,Entertainment
T00964,2023-11-24,CITY OF DALLAS WATER UT,287.99,Utilities
T00836,2023-06-02,ONCOR ELECTRIC DELIVERY,243.08,Utilities
T01832,2023-10-01,TST* OLIVE & VINE DENVER CO,76.06,Restaurants
T01582,2023-11-11,UBER  *TRIP PHX AZ,63.57,Transport
T00490,2023-03-05,ETSY.COM - SELLER305,269.99,Shopping
T00704,2023-04-03,COMCAST CABLE COMM 751,224.83,Utilities
T01646,2023-05-17,VERIZON WIRELESS 2168,169.43,Utilities
T01434,2023-09-17,safeway #83 oakland ca,41.39,Groceries
T01903,2023-07-30,VERIZON WIRELESS 70  ,92.18,Utilities
T00614,2023-12-24,SQ *TAQUERIA EL SOL PHX AZ,30.09,Restaurants
T01148,2023-08-06,DUNKIN #182 BOSTON MA,4.63,Coffee
T01186,2023-08-09,CHIPOTLE 76 OAKLAND CA,58.27,Restaurants
T00805,2023-12-05,TXU ENERGY PAYMENT,244.05,Utilities
T01570,2023-01-21,POS DEBIT H-E-B #9340,105.72,Groceries
T01894,2023-11-23,SQ *BLUE BOTTLE 92 AUSTIN TX,9.82,Coffee
T00676,2023-05-05,SAFEWAY #38 MIAMI FL,63.91,Groceries
T00322,2023-05-02,AMZN MKTP US*34447 AMZN.COM/BILL WA,477.15,Shopping
T01550,2023-12-11,TRADER JOE'S #2300,135.12,Groceries
T01561,2023-05-30,VERIZON WIRELESS 27,125.46,Utilities
T00349,2023-09-25,shell oil 90 oakland ca,91.71,Gas
T00336,2023-02-22,VERIZON WIRELESS 489,235.96,Utilities
T00093,2023-02-06,DOORDASH*MCDONALDS,117.81,Restaurants
T00706,2023-02-17,AMC ONLINE #742,7.99,Entertainment
T00734,2023-01-15,WALMART SUPERCENTER #5677,91.02,Shopping
T00793,2023-10-03,WHOLEFDS MKT 67 NY NY,50.21,Groceries
T01346,2023-08-21,CVS/PHARMACY #917 PHX AZ,178.48,Health
T00519,2023-09-04,TXU ENERGY PAYMENT,293.07,Utilities
T00909,2023-03-08,NETFLIX.COM  728,11.22,Entertainment
T00451,2023-06-27,TST* THE CORNER DINER,43.82,Restaurants
T00563,2023-06-07,TXU ENERGY PAYMENT,59.63,Utilities
T00634,2023-01-26,SQ *CITY DENTAL BOSTON MA,201.29,Health
T00797,2023-06-09,SQ *BLUE BOTTLE 8088 MIAMI FL,8.4,Coffee
T01413,2023-06-01,TARGET 6782 NY NY,102.03,Shopping
T00596,2023-07-12,VERIZON WIRELESS 95140,185.05,Utilities
T01522,2023-06-03,ONCOR ELECTRIC DELIVERY,268.15,Utilities
T00938,2023-11-30,POS  DEBIT BP#99937,86.37,Gas
T00633,2023-05-06,DART RAIL DENVER CO,57.3,Transport
T00778,2023-05-13,SAFEWAY #08745 PHX AZ,104.39,Groceries
T00680,2023-10-25,POS  DEBIT H-E-B #42914,182.49,Groceries
T01670,2023-03-07,CHIPOTLE 36769 PHX AZ,101.39,Restaurants
T00433,2023-09-24,KROGER 2736 OAKLAND CA,74.62,Groceries
T00776,2023-11-24,best buy #29428 oakland ca,149.68,Shopping
T01528,2023-03-15,SQ *THE BOOK NOOK SEATTLE WA  ,230.08,Shopping
T01244,2023-08-24,SQ *THE BOOK NOOK AUSTIN TX,121.55,Shopping
T00642,2023-08-23,SHELL OIL 983 OAKLAND CA,42.72,Gas
T00404,2023-02-21,LA FITNESS 53 DALLAS TX,155.67,Health
